N,true_gamma,sim,prs_r2,wg_power,wg_gamma,wg_pval,pc_power,pc_gamma,pc_pval,cd_power,cd_gamma,cd_pval
5000,-0.1,12,0.0019455822644127952,0,-0.005481532258342479,0.5819331173458626,0,-0.0009051806316108059,0.5616631712044391,0,-0.015293855514846867,0.27793313437305656
5000,-0.1,13,0.0035823353481402014,0,0.003930606172016416,0.6773972495904732,0,0.000658493100309983,0.8884711367416206,0,0.001237512181718687,0.9275270825161893
5000,-0.1,14,0.0014990509108731365,0,-0.01053092126437494,0.2804738727914985,0,-0.00021264998806825198,0.8141284732021363,0,-0.010526053966528361,0.45840997186814025
5000,-0.1,15,0.002658217856273001,0,0.010194487961999166,0.30473438616614645,0,0.0006338503923578819,0.5126525587514421,0,0.012413672670756729,0.38489413368543024
5000,-0.1,16,0.0029696347095258474,0,0.0033921550010760247,0.7449055073779938,0,-0.0005589175797717933,0.5893055564920636,0,0.022532189075969898,0.10950045003177167
5000,-0.1,17,0.001091423270451842,1,0.02329973866983308,0.022290898241725518,0,0.0020062453472568945,0.8349945636727721,0,0.016145437730294192,0.2566513475962133
5000,-0.1,18,0.0015788021904292525,0,-0.004200592009823284,0.680678316393246,0,-0.0003760268254866587,0.6857130258635457,0,-0.02178642800095179,0.12857725458684083
5000,-0.1,19,0.001398726534035157,0,-0.0016527434465732913,0.8670858346979006,0,-0.0001907395019606446,0.49963492223925643,0,0.013832174258084189,0.3265661321511576
5000,-0.1,20,0.0037952356062380763,0,-0.008234181606132703,0.4068835899880503,0,-0.000759222867708274,0.3509268298606051,0,-0.013685877401547638,0.3379078966389224
5000,-0.1,21,0.0022961638479174094,0,-0.010117026196984794,0.2959967066618642,0,-0.0005522718462046706,0.7055997220121477,0,-0.009188280373045764,0.5133466037981317
5000,-0.1,22,0.003164196767059469,0,0.004021197448191091,0.6937469094017512,0,-0.0004825980119304298,0.9658043152084342,0,0.012765601781514955,0.368336232365737
5000,-0.1,23,0.001248807351409195,0,0.010197866608485371,0.3091344459661944,1,0.000560740487679491,0.034405069888757356,0,0.02029933711948352,0.15113019201916641
5000,-0.1,24,0.0009403213477495329,0,0.0028126632125653143,0.7850470544654005,0,-0.0002710480252894955,0.7384228333939039,0,0.0059280188653707076,0.6700950329425759
5000,-0.1,25,3.755660860455169e-05,0,0.003937852314596701,0.6820993005335823,0,0.0008044580525836334,0.8795341183337307,0,0.02569405245521492,0.05845381956917372
5000,-0.1,26,0.0044619710360225525,1,0.02102132359139111,0.03535589251670436,0,0.0022668532902900265,0.4346171715034335,0,0.012408388757533109,0.3767610058509929
5000,-0.1,27,0.0034591893471598895,0,-4.854380242327698e-05,0.996142979804709,0,-0.0001257494773158208,0.582957963957033,0,0.005513750059488033,0.6940645946318796
5000,-0.1,28,0.000604167500984953,0,-0.0038756784292672585,0.6969361084248691,0,-3.079038300874061e-05,0.8868503774233343,0,0.009744617988113592,0.4893551446701707
5000,-0.1,29,0.0009421744541310041,0,0.005283652919072718,0.6028899058827726,0,0.0008943819402753059,0.7182147269759709,0,-0.012833169487687986,0.3686206256266956
5000,-0.1,30,0.0009332720946869632,0,-0.007764502985548156,0.43193904830443897,0,-0.0005746454790929746,0.0921436572877099,0,-0.005144179623579787,0.7057145708548673
5000,-0.1,31,0.0011519446969595652,0,0.006041487840592691,0.5437946174247588,0,0.0002019055361638263,0.1275158166847098,0,0.014348842755454564,0.3152076635717157
5000,-0.1,32,0.0005711534685326733,0,0.010267989092259873,0.3065257537145243,0,0.0007055266112579141,0.278047149828758,0,0.013948501490632169,0.3276825679378357
5000,-0.1,33,0.0036028970060241012,0,0.0002323647015687975,0.9820563485485404,0,-0.00017909722759203067,0.7199426567027997,0,4.9068674895614694e-05,0.9972619003801968
5000,-0.1,34,0.0033867392059669676,0,-0.005660683120397729,0.5650573462280014,0,-0.000992675954276155,0.3707643859098282,0,-0.005296522305270419,0.7099019255825084
5000,-0.1,35,0.0036137813203306205,0,0.0073514533799880506,0.4437221606621945,0,0.0011383041008908822,0.4254552258155616,1,0.03145533322790207,0.02149471790354494
5000,-0.1,36,0.0021016841872916075,0,0.0003547245132574633,0.9724804428234631,0,0.00014107884615713377,0.6268265630761873,0,0.011544194469028345,0.42306162987401696
5000,-0.1,37,0.0024405090017865397,0,-0.004276130633602572,0.6724276268519935,0,-0.00024977682956267376,0.32609291241014393,0,-0.00756826698957283,0.5966192074628296
5000,-0.1,38,0.00015542360356725167,0,-0.0049340860426672975,0.6020568898529239,0,-0.00027956198308106176,0.8157271548481628,0,-0.018111724990545818,0.18514426493011243
5000,-0.1,39,0.0007494952685547497,0,-0.0052586075994284645,0.6071502743692662,0,-0.0006884315972220909,0.5193099146027769,0,-0.0027332568227260634,0.8457153679544096
5000,-0.1,40,0.0019705895747987633,0,0.007146302402325754,0.46210777255557167,0,0.0002460588938762322,0.5893015618178656,0,0.009655572914390797,0.4946916517462593
5000,-0.1,41,0.0006408812211127783,0,-0.009641143209062062,0.32681722132020063,0,-0.0006464574198442129,0.6623951729051856,0,-0.02192454154928981,0.11538461669275564
5000,-0.1,42,0.004586512871929098,0,0.010125932058859474,0.3230742066152271,0,0.0006321911277130954,0.19645458696042195,0,0.011743856109699092,0.40552197901526843
5000,-0.1,43,0.002261057379508981,0,-0.00023191484094210735,0.9817557984603302,0,0.0006244540484945853,0.1901728314050647,0,0.005278438864912098,0.716263929418608
5000,-0.1,44,0.001000179796315389,0,-0.00590434933279051,0.5592940697370605,0,-0.001019957015760807,0.7130137096269586,0,-0.016795299717302162,0.24192668583352095
5000,-0.1,45,0.0010822575759456927,0,-0.0011506404528405078,0.908358532503642,0,-0.00036557176833276533,0.677240365859161,0,-0.007139844166490896,0.6208553255294874
5000,-0.1,46,0.0037216951773006057,0,-0.011051501115397593,0.25300282462063084,0,-0.0013550199997030752,0.22348447334599408,0,-0.027043202330595966,0.053645324153307986
