N,R2,true_gamma,sim,wg_power,wg_gamma,wg_pval,pc_power,pc_gamma,pc_pval,cd_power,cd_gamma,cd_pval
50000,0.01,-0.1,30,0,0.0029023889787368725,0.35818441147772817,0,0.0004523251704391724,0.4884816383671946,0,-0.00841215562386715,0.058979765835176286
50000,0.01,-0.1,31,0,0.0007198024696412246,0.8179965427159434,0,0.0007079389754891716,0.2255722220268871,0,0.001448472464236308,0.7474807533430861
50000,0.01,-0.1,32,0,0.0008332885462482715,0.7938040601725538,0,0.0004617427236337478,0.15122610600971897,0,0.004875295857198176,0.28062114196766375
50000,0.01,-0.1,33,0,0.006133771116321867,0.050814200059288155,0,-0.0004923107580724168,0.41743778205529214,0,-0.003667903993783072,0.4078810881547019
50000,0.01,-0.1,34,0,-0.0011123106639190548,0.7249588221965112,0,-3.708891760119415e-05,0.12347481566423235,0,-0.0023181164693177716,0.5992105282716003
50000,0.01,-0.1,35,0,0.0002994342452605546,0.9238939740575,0,-0.00038645944556765956,0.7720547995433314,0,-0.00022281849925566134,0.9600349535329674
50000,0.01,-0.1,36,0,0.005794038951678391,0.06679535531705756,0,-0.00025507157232091294,0.07546985924983074,0,-0.0032609005787349148,0.46746225019037313
50000,0.01,-0.1,37,0,0.001886249512557709,0.545166582926786,0,0.00038724948638951546,0.96422962040188,0,-0.005156447826360637,0.24243462788057393
50000,0.01,-0.1,38,0,-0.0002984412089187508,0.923694228443618,0,-0.00040137154988746263,0.6878086617964183,0,0.0015377608958857822,0.7267242829034507
50000,0.01,-0.1,39,0,0.0011065489996961763,0.7256968117273495,1,-0.00045051237210475654,0.025411375238026168,1,0.008867819947727272,0.045634442942776764
50000,0.01,-0.1,40,0,0.005336114563383501,0.08781373888001459,0,-0.0009758573579848901,0.444366608763364,1,-0.011691955462232164,0.00885065756717404
50000,0.01,-0.1,41,0,-0.00014364885782363444,0.9636137271795968,0,0.0008683231085846852,0.5274481937825468,0,-0.0009531492877870756,0.8306233202235568
50000,0.01,-0.1,42,0,-0.0010908959596848044,0.7280438891352644,0,-0.0002053986023009938,0.1801343357891445,0,-0.004101691591081601,0.35554418903962626
50000,0.01,-0.1,43,0,0.0013271549127112333,0.6732750412925835,0,0.0005998258230702151,0.7643994421468242,0,-0.004603012182300867,0.301771223469613
50000,0.01,-0.1,44,0,0.003882890999399543,0.2189283688447669,0,6.55677041709159e-05,0.3290170165806241,0,-0.00029884693160107023,0.9459195991045909
50000,0.01,-0.1,45,0,0.004454835869884326,0.1597370989533901,0,0.0001014802100174738,0.8159694055130478,0,-0.0017723930475840024,0.6915401387451963
50000,0.01,-0.1,46,0,0.0050133131675486435,0.11164336450529595,0,-0.00018378396910168342,0.6389081818702849,0,-0.0035761548515283997,0.42413686824597174
50000,0.01,-0.1,47,0,-0.0022633751883913643,0.4720413295867354,0,0.0003760726464872418,0.9316733773424064,0,-0.0009255065609061776,0.8359789319798213
50000,0.01,-0.1,48,0,0.0054645838822537434,0.08284568885351876,0,-0.00033479905547565135,0.23218547867502637,0,0.008441544289260588,0.05920685494438188
50000,0.01,-0.1,49,0,0.0036580343129750314,0.24257556902664656,1,-0.0009009931794287455,0.018837930977822825,0,-0.007419542163976982,0.09526532667383912
50000,0.01,-0.1,50,0,-0.002717804112445659,0.38569835644368167,0,-0.0001658860344442771,0.6902996161040711,0,-0.00043595504784997444,0.9222243612483845
50000,0.01,-0.1,51,0,0.00442976200759245,0.1625409950882266,0,-0.00019978565656271184,0.16752588669626345,0,-0.0016447745296492224,0.7120607686733869
50000,0.01,-0.1,52,0,-0.0008324613297854055,0.7910819964336415,0,0.00010918467474694112,0.5178648364261278,0,0.003961137807550992,0.3710311033484639
50000,0.01,-0.1,53,0,0.001911765259945856,0.54433405453849,0,-0.0010672853919403663,0.7251625585932149,0,0.004429275011659066,0.32214892663996236
50000,0.01,-0.1,54,0,0.0019183070400751023,0.5397299058096301,0,0.00038430746966445025,0.0796604850645618,0,7.020045432093523e-06,0.9987502886544665
50000,0.01,-0.1,55,0,-0.0030598535570477937,0.336907029048355,0,-0.0009698390025095502,0.3039119489293294,0,0.0059113111570581614,0.18731951722440704
50000,0.01,-0.1,56,0,-0.0013505098224772974,0.6668376345550315,0,-0.0007640384446171623,0.35538202024833465,0,-0.0011752811498275438,0.7912669845993439
50000,0.01,-0.1,57,0,-0.0007456634561135572,0.8121547043828875,0,-0.0010313131844835752,0.9693710894814258,0,-0.0012120206247963976,0.7872746049965228
50000,0.01,-0.1,58,0,-0.0009763539473341026,0.757552228028199,0,-0.0008008590864188012,0.5254958326432798,0,0.0018158409964955456,0.6859921116240892
50000,0.01,-0.1,59,0,-0.0011985295014110072,0.6993319605265542,0,-0.0008625759334738135,0.20653906865877636,0,0.0038092711075919444,0.3922034476436672
50000,0.01,-0.1,60,0,-0.0025490773461895456,0.4161751148718543,0,0.00016774267564801583,0.3603483059837548,0,-0.00014637405423211566,0.973913519870371
50000,0.01,-0.1,61,0,0.0010409173343009287,0.7406949056242176,0,-0.0007412376084163705,0.551162065213987,0,0.004322597548029532,0.3299596362038082
